0,0,15.6,0,0,4,0,0,0,2.4,21170.021995740048,2026-05-04 19:22:50.667621
0,0,15.6,0,0,4,0,0,0,2.0,21584.306755631194,2026-05-04 19:25:38.297071
1,0,13.14,5,107,16,4,0,8,3.41,89107.79935855838,2026-05-04 19:27:11.324581
0,0,15.6,0,0,4,0,0,0,2.0,21584.306755631194,2026-05-04 19:27:45.418833
0,0,15.6,0,98,4,34,56,8,2.88,55245.200673762716,2026-05-04 19:28:38.771432
0,0,15.6,0,0,4,0,0,0,2.0,21584.306755631194,2026-05-05 14:00:40.528796
1,0,15.6,0,0,4,0,23,8,3.16,41743.98996514012,2026-05-05 14:01:14.084009
4,0,15.6,0,56,4,16,24,5,2.2,25169.590927642654,2026-05-05 14:04:14.856979
4,2,15.6,8,56,4,16,24,5,2.2,28964.840770802824,2026-05-05 14:04:52.087064
4,2,15.6,8,56,4,16,24,5,2.2,28964.840770802824,2026-05-05 14:05:36.042163
0,0,15.6,0,0,4,0,0,0,2.0,21584.306755631194,2026-05-08 03:58:36.196092
0,2,15.6,0,5,4,3,4,0,2.0,17116.99162369305,2026-05-08 03:58:48.048305
7,2,15.6,0,5,32,1,4,6,2.84,82724.01019400565,2026-05-08 03:59:08.283450
